节点名称,频次分层,问题内容
空仓观望,高频,"现在能进场吗？感觉要踏空了。"
空仓观望,高频,"大盘涨这么多了，我还没上车怎么办？"
空仓观望,高频,"空仓好难受，推荐买点啥吧。"
空仓观望,中频,"市场情绪现在是什么阶段？贪婪还是恐慌？"
空仓观望,中频,"当前指数估值处于历史什么分位？"
空仓观望,低频,"我的交易系统信号出现了吗？没有就继续等。"
空仓观望,低频,"空仓也是一种操作，我能忍受多久不交易？"
信息搜集,高频,"最近哪个板块最火？有什么龙头可以追？"
信息搜集,高频,"有没有什么未公开消息或者重组概念？"
信息搜集,高频,"帮我看看这只票，群里老师推荐的。"
信息搜集,高频,"这个票最近为什么涨？有什么利好公告吗？"
信息搜集,中频,"这个板块有政策支持吗？国家发文件了吗？"
信息搜集,中频,"有没有深度研报发一份看看？最好是带目标价的。"
信息搜集,中频,"散户人数最近是增加还是减少了？"
信息搜集,低频,"这家公司的护城河是什么？竞争对手情况如何？"
信息搜集,低频,"产业链上下游的景气度怎么样？"
分析决策,高频,"这个位置还能买吗？是不是太高了？"
分析决策,高频,"帮我画根线，支撑和压力在哪？"
分析决策,高频,"这个事件到底落地了没有？是不是见光死？"
分析决策,中频,"这个事件对业绩的拉动有多大？还是纯概念炒作？"
分析决策,中频,"我买它的逻辑是什么？能一句话说清楚吗？"
分析决策,中频,"预期收益率多少？我打算拿多久？"
分析决策,低频,"如果逻辑没变股价跌30%，我敢加仓还是想止损？"
分析决策,低频,"我的买入计划书写好了吗？包括仓位和止损位。"
买入建仓,高频,"现在回调了，是不是可以建底仓了？"
买入建仓,高频,"分批买还是一次性买？我怕一买就跌。"
买入建仓,高频,"能不能帮我看看分时图，找个低点挂单？"
买入建仓,高频,"全仓干还是分仓？我想一把一次性满仓赚快钱。"
买入建仓,中频,"止损位设在买入价的-8%还是均线破位？"
买入建仓,中频,"左侧交易和右侧交易，这次适合哪种？"
买入建仓,低频,"我已经想好了：如果逻辑没变，股价跌30%我敢重仓吗？"
买入建仓,低频,"这笔交易的最大亏损额我能不能坦然接受？"
持仓波动,高频,"这几天怎么不动了？是不是主力在出货？"
持仓波动,高频,"跌了3个点了，要不要补仓摊低成本？"
持仓波动,高频,"隔壁板块都涨疯了，我手里的死气沉沉，要不要换股？"
持仓波动,高频,"是不是主力在洗盘？我感觉一卖就会涨。"
持仓波动,中频,"成交量缩到极致了，是不是变盘信号？"
持仓波动,中频,"出了个小利空，但是股价没怎么跌，说明什么？"
持仓波动,低频,"当初买入的逻辑有没有被证伪？基本面恶化了吗？"
持仓波动,低频,"我是在投资企业还是在盯着报价器赌博？"
盈利管理,高频,"赚了5个点了，要不要落袋为安？怕坐过山车。"
盈利管理,高频,"刚才冲高没卖，现在回落了，还能上去吗？"
